text,label
"Dear Customer Care, I am facing an issue related to account hacked. The issue has persisted for several days. This has caused financial stress. This is very frustrating. I request urgent assistance.",fraud
"Dear Customer Care, I am facing an issue related to general banking inquiry. I already contacted support but received no resolution. I am extremely worried about this. I am disappointed with the service. Looking forward to quick resolution. urgent",other
"Hello Support Team, I am facing an issue related to unknown deduction from account. The issue has persisted for several days. I am extremely worried about this. This situation is unacceptable. Kindly investigate and update me. urgent",fraud
"Hello Support Team, I am facing an issue related to service quality issue. The issue has persisted for several days.  I am disappointed with the service. Please resolve this immediately. urgent",other
This is regarding a serious concern. I am facing an issue related to password reset not working.   This is very frustrating. Please refund the deducted amount. urgent,account
"Hi Team, I am facing an issue related to mobile number update issue. The issue has persisted for several days. This has caused financial stress. This situation is unacceptable. Please resolve this immediately. pls help",account
"Dear Customer Care, I am facing an issue related to interest rate suddenly increased.  I am unable to continue normal banking.  Kindly investigate and update me.",loan
This is regarding a serious concern. I am facing an issue related to international transaction not working. This problem started yesterday.  This situation is unacceptable. I request urgent assistance. pls help,credit_card
"Dear Customer Care, I am facing an issue related to UPI transaction stuck.  This has caused financial stress. I am disappointed with the service. Kindly investigate and update me. !!!!",payment
"Hello Support Team, I am facing an issue related to technical issue in application. I already contacted support but received no resolution.  This situation is unacceptable. Looking forward to quick resolution. asap",other
This is regarding a serious concern. I am facing an issue related to double payment charged. This problem started yesterday. I am unable to continue normal banking. This situation is unacceptable. Please refund the deducted amount. !!!!,payment
This is regarding a serious concern. I am facing an issue related to unexpected credit card charges. The issue has persisted for several days.  This is very frustrating. Please refund the deducted amount. !!!!,credit_card
"Hello Support Team, I am facing an issue related to loan disbursement delayed. I already contacted support but received no resolution. I am extremely worried about this.  Kindly investigate and update me.",loan
"Hello Support Team, I am facing an issue related to incorrect EMI deduction.  This issue is affecting my daily transactions. This is very frustrating. Kindly investigate and update me. urgent",loan
"Hi Team, I am facing an issue related to loan disbursement delayed. I noticed this issue recently. I am extremely worried about this. I am disappointed with the service. Looking forward to quick resolution. asap",loan
This is regarding a serious concern. I am facing an issue related to UPI transaction stuck.   I am disappointed with the service. Kindly investigate and update me. asap,payment
"Hello Support Team, I am facing an issue related to unauthorized transaction on my credit card.  This issue is affecting my daily transactions. This situation is unacceptable. Please refund the deducted amount. !!!!",credit_card
I am writing to report an issue. I am facing an issue related to unauthorized transaction on my credit card. I noticed this issue recently. This has caused financial stress.  Please resolve this immediately.,credit_card
I am writing to report an issue. I am facing an issue related to payment failed but money deducted. I noticed this issue recently. This has caused financial stress. I am disappointed with the service. Please refund the deducted amount. pls help,payment
This is regarding a serious concern. I am facing an issue related to payment not reflected. I already contacted support but received no resolution. This issue is affecting my daily transactions. I am disappointed with the service. Please refund the deducted amount. urgent,payment
I am writing to report an issue. I am facing an issue related to suspicious login activity. I noticed this issue recently. This has caused financial stress. This situation is unacceptable. I request urgent assistance. pls help,fraud
This is regarding a serious concern. I am facing an issue related to password reset not working. The issue has persisted for several days. This has caused financial stress.  Looking forward to quick resolution. !!!!,account
"Hello Support Team, I am facing an issue related to credit card declined during payment. I already contacted support but received no resolution. I am unable to continue normal banking. This is very frustrating. Looking forward to quick resolution. pls help",credit_card
I am writing to report an issue. I am facing an issue related to international transaction not working. I already contacted support but received no resolution. I am unable to continue normal banking.  I request urgent assistance.,credit_card
"Dear Customer Care, I am facing an issue related to UPI transaction stuck.  This has caused financial stress. I am disappointed with the service. Looking forward to quick resolution.",payment
"Hello Support Team, I am facing an issue related to fraudulent transaction detected. I noticed this issue recently. This issue is affecting my daily transactions. This is very frustrating. Please refund the deducted amount. pls help",fraud
"Hi Team, I am facing an issue related to customer support not responding.  I am unable to continue normal banking. This is very frustrating. Please resolve this immediately. !!!!",other
This is regarding a serious concern. I am facing an issue related to password reset not working.  This issue is affecting my daily transactions. This situation is unacceptable. Please resolve this immediately. urgent,account
"Hello Support Team, I am facing an issue related to payment not reflected. I noticed this issue recently. This issue is affecting my daily transactions. This situation is unacceptable. Looking forward to quick resolution. urgent",payment
"Dear Customer Care, I am facing an issue related to profile update failing.  This has caused financial stress. This is very frustrating. Please refund the deducted amount. urgent",account
"Hi Team, I am facing an issue related to credit limit reduced without notice. This problem started yesterday. This issue is affecting my daily transactions. This is very frustrating. Kindly investigate and update me. asap",credit_card
"Hello Support Team, I am facing an issue related to payment failed but money deducted. I already contacted support but received no resolution. I am unable to continue normal banking.  I request urgent assistance.",payment
I am writing to report an issue. I am facing an issue related to mobile app crashing frequently.  I am unable to continue normal banking. This is very frustrating. I request urgent assistance. !!!!,other
I am writing to report an issue. I am facing an issue related to interest rate suddenly increased. I already contacted support but received no resolution. I am extremely worried about this. This situation is unacceptable. Please resolve this immediately. urgent,loan
"Dear Customer Care, I am facing an issue related to mobile number update issue. I already contacted support but received no resolution. I am unable to continue normal banking. I am disappointed with the service. Kindly investigate and update me. asap",account
"Hello Support Team, I am facing an issue related to someone accessed my account. This problem started yesterday. I am extremely worried about this.  Please refund the deducted amount. pls help",fraud
"Hello Support Team, I am facing an issue related to account locked automatically.  This issue is affecting my daily transactions.  Kindly investigate and update me. urgent",account
"Hello Support Team, I am facing an issue related to unexpected credit card charges. I noticed this issue recently. This has caused financial stress. I am disappointed with the service. I request urgent assistance. urgent",credit_card
"Dear Customer Care, I am facing an issue related to payment not reflected. The issue has persisted for several days.  I am disappointed with the service. Looking forward to quick resolution.",payment
This is regarding a serious concern. I am facing an issue related to payment failed but money deducted.  I am unable to continue normal banking. This is very frustrating. Please resolve this immediately. asap,payment
"Hi Team, I am facing an issue related to unknown deduction from account. I already contacted support but received no resolution. This issue is affecting my daily transactions. This is very frustrating. I request urgent assistance.",fraud
"Hi Team, I am facing an issue related to unauthorized transaction on my credit card. I already contacted support but received no resolution.   Please refund the deducted amount. !!!!",credit_card
"Hello Support Team, I am facing an issue related to loan disbursement delayed. This problem started yesterday. This has caused financial stress. This is very frustrating. Please refund the deducted amount. urgent",loan
"Hello Support Team, I am facing an issue related to transaction pending for long time. I already contacted support but received no resolution.   Please refund the deducted amount. pls help",payment
"Hello Support Team, I am facing an issue related to transaction pending for long time. This problem started yesterday.  This situation is unacceptable. Please resolve this immediately. urgent",payment
I am writing to report an issue. I am facing an issue related to service quality issue. This problem started yesterday.  I am disappointed with the service. Please resolve this immediately. urgent,other
